category,total_tokens,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,selected_entropy_mean,pct_balanced_0.5_0.6,pct_dominant_0.9_1.0
wikipedia,507,0.6306697,0.10189268,0.60766315,0.26133943,0.20378536,0.91517395,46.39217619986851,1.619000657462196
conversation,168,0.6264848,0.101337194,0.60393184,0.2529696,0.20267439,0.91839796,48.139880952380956,1.8105158730158732
math,976,0.61389893,0.09274577,0.5907792,0.22779779,0.18549155,0.9342718,53.125,0.6190232240437158
books,2560,0.6225641,0.09535745,0.60206157,0.24512811,0.19071491,0.92634165,48.876953125,0.8268229166666666
web_text,433,0.6181038,0.09332641,0.59643316,0.23620752,0.18665282,0.9306054,50.567744418783676,0.9719014626635873
code,2363,0.6192412,0.09372358,0.5983122,0.23848237,0.18744718,0.93001926,50.065241924107774,0.5765975454930173
